mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
gen_replay,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,grid,0.5946876875639399,0.9274308300395256,0.25168174004036176,0.47076429716729024,0.609710662587801,0.6266129032258064,0.681925692322854
gen_replay,64,0.5,0.001,0.0,60,5000,1000.0,5.0,grid,0.7446903411001676,0.9529446640316206,0.6674639360191345,0.7160163905220025,0.6762087057576949,0.707044107965767,0.7484642423047863
gen_replay,64,0.5,0.001,0.0,90,5000,1000.0,5.0,grid,0.8252782939796154,0.9592094861660079,0.8770834890500038,0.7691074291822555,0.7774682549177105,0.7684331797235023,0.8003679248382116
gen_replay,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,grid,0.7958739615942013,0.8740118577075099,0.8292473279019359,0.804792446107251,0.777980961495736,0.7225806451612903,0.7666305311914852
gen_replay,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,grid,0.8238897325453499,0.9560276679841897,0.8767471410419314,0.8013183680741137,0.7756054210175517,0.762771560236998,0.7708682369173154
naive,64,0.0,0.0005,0.0001,60,5000,1000.0,5.0,random,0.4370924998371282,0.7835177865612648,0.7196539352716944,0.597826474256191,0.3995180558166561,0.10625411454904543,0.015784632567918268
naive,64,0.0,0.001,0.0001,120,5000,2000.0,2.0,random,0.19622020744058496,0.9269169960474308,0.054488377307721055,0.0772314270443613,0.04072599251448396,0.07595457537853852,0.0020038763509740154
naive,256,0.5,0.0001,1e-05,90,2000,500.0,2.0,random,0.31915835854729085,0.975,0.568259959638239,0.09627650097986816,0.11135986874711602,0.114137590520079,0.04991623139844289
naive,64,0.5,0.0005,0.0001,60,10000,2000.0,5.0,random,0.20680911196488427,0.9474901185770751,0.05577771133866507,0.042829146623908784,0.07206945465110318,0.06971691902567478,0.052971321572878684
naive,256,0.5,0.0001,0.0,120,2000,1000.0,5.0,random,0.17400491406956617,0.7110869565217391,0.054488377307721055,0.06187422055941564,0.08917676413788389,0.08655365371955234,0.040849512171085046
