mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,eps_learn,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
rehearsal,64,0.3,0.0005,0.0,120,2000,500.0,10.0,False,random,0.28576403935792677,0.8828853754940712,0.054488377307721055,0.39709602707999286,0.11486336369695624,0.1312870309414088,0.1339640616274104
rehearsal,256,0.3,0.0005,1e-05,90,5000,500.0,2.0,False,random,0.8821256740795856,0.9990118577075099,0.9607593990582256,0.8217352574380902,0.8187582246680225,0.8289664252797894,0.8635228803258763
ewc,256,0.3,0.0001,0.0001,60,10000,1000.0,2.0,True,random,0.26522201973151693,0.9790118577075099,0.38132521115180507,0.08419739889542134,0.06219130791448054,0.08199473337722185,0.002611609342662856
ewc,128,0.3,0.0001,0.0001,120,5000,500.0,2.0,True,random,0.20006157812105166,0.949901185770751,0.054488377307721055,0.07616247995724211,0.04072599251448396,0.04298880842659644,0.036102624749515456
ewc,256,0.0,0.0005,0.0001,90,2000,1000.0,2.0,False,random,0.20700078191244634,0.9984584980237154,0.054488377307721055,0.04657046142882594,0.04072599251448396,0.06094470046082949,0.04081666173910187
ewc,256,0.5,0.0001,0.0,60,10000,2000.0,5.0,False,random,0.14864042608496372,0.5657905138339921,0.054488377307721055,0.05195082843399252,0.09965306854886948,0.11795589203423305,0.0020038763509740154
ewc,256,0.3,0.0005,0.0,120,5000,500.0,10.0,True,random,0.20849343678459384,0.9992885375494072,0.054488377307721055,0.04657046142882594,0.07543622784680327,0.07317314022383146,0.0020038763509740154
ewc,128,0.0,0.0001,1e-05,120,2000,500.0,10.0,True,random,0.20670491587972975,0.9062450592885376,0.054488377307721055,0.05321574915375022,0.09570522789807394,0.07108294930875576,0.05949213232154003
ewc,128,0.5,0.0005,1e-05,90,2000,2000.0,2.0,True,random,0.2001549382750892,0.9909486166007905,0.054488377307721055,0.04657046142882594,0.08516056261001828,0.021757735352205397,0.0020038763509740154
ewc,256,0.0,0.0005,0.0001,120,10000,1000.0,5.0,False,random,0.20635496521117017,0.9999802371541502,0.054488377307721055,0.04657046142882594,0.04072599251448396,0.05636932192231731,0.039995400939522356
ewc,256,0.3,0.0005,0.0,60,2000,500.0,5.0,True,random,0.20363933209134089,0.9905138339920949,0.054488377307721055,0.04657046142882594,0.05342402543024627,0.07483541803818301,0.0020038763509740154
ewc,256,0.3,0.0005,1e-05,120,5000,1000.0,5.0,False,random,0.21086601277854525,0.9996837944664032,0.054488377307721055,0.04657046142882594,0.08430605164664262,0.07814351547070442,0.0020038763509740154
ewc,64,0.0,0.001,0.0,90,10000,1000.0,2.0,True,random,0.19139932701146276,0.9558893280632411,0.054488377307721055,0.04657046142882594,0.04477637448088459,0.04466754443712969,0.0020038763509740154
ewc,64,0.5,0.0005,0.0,90,10000,500.0,2.0,True,random,0.1875005709189719,0.8964624505928854,0.054488377307721055,0.05170140744699804,0.06733546391400201,0.053011849901250824,0.0020038763509740154
si,256,0.5,0.001,0.0,90,5000,500.0,2.0,False,random,0.2007213526674658,0.9996640316205534,0.054488377307721055,0.04657046142882594,0.0793498880590638,0.022251481237656353,0.0020038763509740154
si,128,0.3,0.0001,0.0001,90,2000,2000.0,10.0,True,random,0.19088482969346618,0.9197826086956522,0.054488377307721055,0.05195082843399252,0.04072599251448396,0.03921988150098749,0.03914128970795966
si,128,0.5,0.0001,0.0,60,10000,2000.0,10.0,False,random,0.1388886353704246,0.5519762845849803,0.054488377307721055,0.052289328344913594,0.05897834669218806,0.05678077682685977,0.058818698465884826
si,256,0.3,0.001,1e-05,90,10000,2000.0,5.0,True,random,0.19433846280157085,0.9997430830039525,0.054488377307721055,0.04657046142882594,0.040743082733751476,0.022481895984200133,0.0020038763509740154
si,128,0.0,0.0005,0.0,90,10000,2000.0,5.0,True,random,0.20835188474254704,0.9867588932806324,0.054488377307721055,0.04657046142882594,0.08509220173294824,0.07519749835418038,0.0020038763509740154
si,128,0.3,0.0005,1e-05,120,10000,2000.0,5.0,True,random,0.1985239196147888,0.9919565217391304,0.054488377307721055,0.04657046142882594,0.04072599251448396,0.0553982883475971,0.0020038763509740154
si,64,0.3,0.0005,1e-05,120,5000,2000.0,10.0,True,random,0.13159216560404452,0.5519960474308301,0.054488377307721055,0.04657046142882594,0.07025789140874678,0.06423633969716919,0.0020038763509740154
