mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,num_heads,attn_drop,negative_slope,residual,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
si,256,0.3,0.0001,0.0,20,5000,500.0,2.0,1,0.4,0.1,False,random,0.2861875404731257,0.5284189723320158,0.4403542865685029,0.3437377516479601,0.13543998769504212,0.1382488479262673,0.1309253966689662
si,128,0.0,0.0005,0.0,10,2000,1000.0,10.0,8,0.0,0.2,False,random,0.8165523694502997,0.9061067193675889,0.9172583900142014,0.8018706574024586,0.7838599969237605,0.7580315997366689,0.7321868532571203
si,256,0.5,0.0001,1e-05,15,2000,500.0,10.0,1,0.2,0.2,False,random,0.2914351999315739,0.5657312252964427,0.42708722625009343,0.29203634420096203,0.23640900312751012,0.1259381171823568,0.10140928353207845
si,64,0.0,0.0005,0.0001,15,10000,500.0,2.0,4,0.4,0.2,False,random,0.5499947652962953,0.6423715415019763,0.6441064354585545,0.6134152859433458,0.5767265394015005,0.43541803818301517,0.3879307512893795
si,128,0.5,0.0001,0.0001,10,10000,500.0,5.0,1,0.2,0.1,False,random,0.30798855647106455,0.5055533596837944,0.40090813962179533,0.3479779084268662,0.28149300155520995,0.20589203423304805,0.10610689530567327
si,128,0.5,0.0005,1e-05,10,5000,500.0,5.0,4,0.4,0.2,False,random,0.40675703357537496,0.5393478260869565,0.5010090440242171,0.44835203990735795,0.40524327927127307,0.3565009874917709,0.19008902467067443
si,64,0.0,0.0005,0.0,20,5000,2000.0,10.0,1,0.2,0.2,True,random,0.6694628116224397,0.8887944664031621,0.8181852156364452,0.6621770889007661,0.5866901372344607,0.5289993416721527,0.5319306198876516
si,256,0.3,0.0001,1e-05,15,10000,500.0,10.0,1,0.4,0.2,True,random,0.3467345072115797,0.4809090909090909,0.4452873906868974,0.3645465882772136,0.32438945191666807,0.2446181698485846,0.22065635163102396
gen_replay,128,0.5,0.0005,1e-05,15,10000,500.0,10.0,8,0.4,0.1,False,random,0.5791608854106122,0.6014624505928854,0.6133492787203827,0.5730447176198111,0.5765214567702903,0.5637919684002634,0.5467954403600407
gen_replay,128,0.3,0.0005,1e-05,15,5000,1000.0,5.0,4,0.2,0.1,False,random,0.6756031340418521,0.7125889328063241,0.7314261155542268,0.6994298948868698,0.6583494266231436,0.635862409479921,0.6159620249006275
gen_replay,256,0.0,0.0001,1e-05,10,2000,1000.0,10.0,8,0.0,0.2,False,random,0.8055587884636135,0.8454150197628458,0.8558375065401002,0.8087653661143773,0.7920803923914344,0.7691244239631336,0.7621300220097894
gen_replay,128,0.0,0.0005,0.0,20,10000,2000.0,10.0,2,0.4,0.1,False,random,0.6499330590668496,0.6273320158102766,0.6738545481725091,0.6797790842686621,0.640114162664707,0.6374259381171824,0.6410926053677606
gen_replay,128,0.0,0.0001,0.0001,10,10000,1000.0,5.0,1,0.4,0.1,False,random,0.4661988841366285,0.5277272727272727,0.5000560580013453,0.4683235346517014,0.4582742296583665,0.42699144173798553,0.41582076804309975
gen_replay,64,0.5,0.0005,0.0,15,2000,500.0,2.0,1,0.0,0.1,False,random,0.3237752662608858,0.5097233201581027,0.4129792959115031,0.3185462319615179,0.2951309965306855,0.21013824884792626,0.19613350415557965
gen_replay,64,0.3,0.0001,0.0,20,5000,2000.0,2.0,8,0.4,0.2,True,random,0.5662302307455214,0.6493675889328063,0.6046602885118469,0.575432032781044,0.5519115410250713,0.5140717577353522,0.5019381754870077
