mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,num_heads,feat_drop,attn_drop,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
naive,256,0.0,0.0001,0.0001,90,2000,1000.0,2.0,1,0.2,0.0,random,0.24245902053889504,0.9298221343873517,0.1210292249047014,0.06044895777659006,0.1421222634286398,0.11038512179065174,0.09094642094543544
naive,64,0.3,0.0005,1e-05,90,2000,500.0,5.0,1,0.0,0.0,random,0.24149242838237553,0.9767193675889329,0.1668659840047836,0.07252805986103687,0.0981320390340608,0.10131665569453588,0.03339246411090306
naive,256,0.0,0.0001,0.0001,90,2000,2000.0,10.0,2,0.0,0.2,random,0.23912009147688376,0.9771739130434782,0.1647918379550041,0.07970782112952075,0.0843915027429802,0.08034891375905201,0.04830656023126704
naive,256,0.3,0.0001,1e-05,60,5000,500.0,5.0,4,0.0,0.2,random,0.24406802774952163,0.9738735177865613,0.18928918454294044,0.07970782112952075,0.0852972843641584,0.1031599736668861,0.03308038500706284
naive,64,0.5,0.0001,0.0,60,5000,500.0,5.0,2,0.0,0.2,random,0.13732537245606538,0.5309683794466403,0.10437999850511996,0.08660252984143951,0.04204193939808248,0.04465108624094799,0.01530830130416215
naive,256,0.0,0.0001,0.0,90,10000,1000.0,10.0,1,0.2,0.2,random,0.20821603611129139,0.9361462450592886,0.054488377307721055,0.05884553714591128,0.07246252969425598,0.08637261356155365,0.04098091389901777
naive,256,0.5,0.0001,1e-05,120,2000,500.0,10.0,4,0.2,0.0,random,0.2008937992920901,0.9772529644268775,0.054488377307721055,0.04657046142882594,0.08316100695571924,0.041886109282422646,0.0020038763509740154
naive,256,0.5,0.0001,1e-05,120,5000,1000.0,2.0,4,0.0,0.0,random,0.2445728740066779,0.9876679841897233,0.17863816428731594,0.04657046142882594,0.08464785603199289,0.09532587228439764,0.07458690581781151
rehearsal,128,0.3,0.0001,0.0001,90,5000,2000.0,5.0,2,0.2,0.0,random,0.7037874909476828,0.9232608695652174,0.8222400777337618,0.6697131658649563,0.6396356365252166,0.5785055957867018,0.5893696002102428
rehearsal,64,0.5,0.001,1e-05,120,2000,2000.0,5.0,4,0.2,0.0,random,0.6723333362577469,0.9943280632411067,0.7067979669631512,0.677213611259576,0.4750568249790645,0.5779131007241606,0.6026904503794225
rehearsal,256,0.5,0.001,0.0001,120,10000,500.0,10.0,1,0.2,0.2,random,0.9363951552570814,0.9935375494071146,0.9725689513416549,0.9295742027436309,0.9234016372430058,0.8958031599736669,0.9034854308334155
