mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,aggregator,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
rehearsal,64,0.0,0.001,0.0,90,10000,500.0,5.0,pool,random,0.9252659154900472,0.9679249011857708,0.9486882427685178,0.925405309103866,0.9147881667321792,0.8961981566820276,0.8985907164679215
rehearsal,64,0.0,0.0001,0.0,60,10000,2000.0,10.0,mean,random,0.33858241528553035,0.5641304347826087,0.3326108079826594,0.24906467129877072,0.28248423427272573,0.28923633969716916,0.3139680036792484
rehearsal,128,0.0,0.0005,0.0001,120,5000,1000.0,2.0,mean,random,0.891939535040235,0.9936956521739131,0.9194072800657748,0.8325494388027792,0.8862133201168971,0.8617182356813693,0.8580532834006768
rehearsal,128,0.5,0.001,1e-05,120,10000,1000.0,10.0,gcn,random,0.9299322708848262,0.9918577075098814,0.9722326033335825,0.9133618385889899,0.9072513800352059,0.8975312705727452,0.8973588252685523
rehearsal,64,0.5,0.0005,0.0001,120,10000,500.0,5.0,lstm,random,0.9282284149700986,0.9577272727272728,0.9692241572613798,0.9259219668626403,0.919077811768325,0.9055793285055957,0.891839952695378
rehearsal,128,0.3,0.0001,0.0001,60,10000,1000.0,5.0,mean,random,0.7547698438592502,0.6054347826086957,0.7982472531579341,0.8197398895421343,0.7792114572829969,0.7545918367346939,0.7713938438290463
rehearsal,64,0.0,0.0005,0.0,60,10000,500.0,5.0,pool,random,0.8519551174181116,0.8108893280632411,0.8407765901786382,0.891199002316052,0.8497598824192915,0.8656188281764319,0.8534870733550146
ewc,64,0.3,0.0005,0.0,120,10000,500.0,2.0,mean,random,0.21195083090938335,0.9901778656126482,0.05039614320950744,0.044575093532870126,0.07473552885683524,0.07251481237656353,0.03930554186787556
ewc,256,0.0,0.0001,0.0001,60,10000,1000.0,2.0,gcn,random,0.213866890260386,0.9501778656126483,0.1332872411988938,0.0414038838410832,0.07673508451113428,0.05577682685977617,0.025820439538779934
ewc,64,0.5,0.0005,0.0001,120,2000,500.0,10.0,mean,random,0.2408799170258178,0.9714229249011858,0.34279467822707227,0.04756814537680385,0.04072599251448396,0.03923633969716919,0.0035314214381919123
ewc,256,0.5,0.001,1e-05,60,10000,500.0,2.0,pool,random,0.23779847270337987,0.9990909090909091,0.31228043949473056,0.04657046142882594,0.04072599251448396,0.026119157340355498,0.0020038763509740154
ewc,64,0.3,0.0001,0.0,60,2000,1000.0,2.0,mean,random,0.2497863179482166,0.731106719367589,0.546191793108603,0.06028861571352218,0.057286414984704256,0.051250822909809084,0.052593541605072104
ewc,256,0.3,0.0005,0.0001,90,10000,2000.0,5.0,lstm,random,0.2533628857373493,0.9979841897233201,0.3545294865087077,0.04657046142882594,0.08227231555380855,0.036816984858459516,0.0020038763509740154
ewc,64,0.3,0.0001,0.0,120,10000,1000.0,2.0,gcn,random,0.2612813406547606,0.3785573122529644,0.3559683085432394,0.28580081952610015,0.17168834276143763,0.18638907175773536,0.1892841890870865
ewc,256,0.3,0.0005,1e-05,90,5000,500.0,10.0,mean,random,0.2251808452865511,0.9984782608695653,0.16662306599895357,0.04657046142882594,0.06719874215986191,0.07021066491112574,0.0020038763509740154
ewc,64,0.5,0.0005,0.0,60,2000,2000.0,5.0,mean,random,0.3611328576762387,0.9056521739130434,0.6288399730921593,0.07744521646178514,0.11382086032163792,0.2076366030283081,0.233402319240498
ewc,256,0.3,0.0001,1e-05,120,10000,500.0,10.0,gcn,random,0.21078060514037802,0.9311462450592886,0.054488377307721055,0.05840014252627828,0.0824432177464837,0.08390388413429888,0.0543017640681975
ewc,128,0.5,0.001,0.0,60,5000,500.0,5.0,pool,random,0.22294651304854932,0.9922924901185771,0.09129979819119516,0.17835382148583645,0.051971356792507646,0.021757735352205397,0.0020038763509740154
ewc,64,0.3,0.001,0.0,60,2000,1000.0,5.0,mean,random,0.35921052535319425,0.9726877470355731,0.4059907317437776,0.37967218955995014,0.3351391998359339,0.05640223831468071,0.005371045629250025
si,64,0.0,0.0005,0.0001,120,5000,2000.0,10.0,pool,random,0.20821635634609517,0.9781422924901185,0.054488377307721055,0.04657046142882594,0.05636354314425854,0.06820276497695853,0.045530698728688285
si,64,0.3,0.0001,0.0,60,2000,1000.0,10.0,pool,random,0.16634675752584527,0.6705731225296443,0.13082068913969655,0.05360769641902726,0.04875839557021516,0.05269914417379855,0.04162149732268979
si,256,0.5,0.001,1e-05,60,5000,2000.0,10.0,mean,random,0.2554884055348602,0.9974505928853755,0.3397114881530757,0.04657046142882594,0.07454753644489259,0.07264647794601711,0.0020038763509740154
si,64,0.0,0.001,0.0001,60,5000,2000.0,5.0,gcn,random,0.43326437727824435,0.9639525691699605,0.8193624336646984,0.5672545875645822,0.19527284535060585,0.04944042132982225,0.004303406589796656
si,128,0.0,0.0005,0.0001,90,10000,2000.0,2.0,lstm,random,0.3011949022232451,0.98199604743083,0.36669407280065774,0.28583645109567074,0.05844854989489515,0.07685977616853193,0.037334515948884726
si,256,0.3,0.001,1e-05,120,5000,500.0,2.0,lstm,random,0.20971822137582133,0.9999011857707509,0.054488377307721055,0.04657046142882594,0.04072599251448396,0.07590520078999341,0.04071811044315233
si,256,0.0,0.0001,1e-05,120,5000,1000.0,10.0,gcn,random,0.36404974893462144,0.9079249011857707,0.9152403019657672,0.10830215570995902,0.08295592432450909,0.10116853192890059,0.06870667849282218
si,256,0.0,0.0005,0.0,60,2000,1000.0,10.0,mean,random,0.31381337129892134,0.9948616600790514,0.3678899768293594,0.21583823267414928,0.08469912668979543,0.15699473337722186,0.06259649814395059
si,256,0.5,0.0005,1e-05,90,10000,500.0,2.0,mean,random,0.26235665271626735,0.9971146245059288,0.3248187457956499,0.13263851772670587,0.042366653564165226,0.07519749835418038,0.0020038763509740154
si,64,0.0,0.0001,1e-05,120,2000,1000.0,2.0,lstm,random,0.5520497722110704,0.9041699604743083,0.8685253008446072,0.5228042045252094,0.36005673952796813,0.33436471362738646,0.3223777142669426
si,64,0.3,0.0001,0.0,60,5000,1000.0,2.0,gcn,random,0.31685155937582926,0.806205533596838,0.8401599521638389,0.041724567967218955,0.07280433407960624,0.07022712310730744,0.06998784534016622
si,256,0.5,0.0005,1e-05,120,2000,2000.0,5.0,lstm,random,0.21772298116515,0.9964426877470356,0.17021077808505866,0.04657046142882594,0.05422726573581939,0.03688281764318631,0.0020038763509740154
gen_replay,64,0.5,0.001,0.0001,120,2000,2000.0,5.0,pool,random,0.6611460314027079,0.9858300395256917,0.4786045294865087,0.571583823267415,0.7033992446123084,0.6240289664252798,0.6034295850990441
gen_replay,256,0.3,0.0001,0.0001,120,2000,2000.0,5.0,mean,random,0.5768181929409718,0.9706126482213439,0.761118170266836,0.4729912702654552,0.21470442465776837,0.47988808426596447,0.5615945599684636
gen_replay,64,0.0,0.0005,1e-05,60,10000,500.0,10.0,gcn,random,0.7195045233520537,0.9080830039525691,0.26145451827490845,0.6927133440228042,0.8038726436860185,0.8058591178406846,0.8450445123353372
gen_replay,64,0.0,0.0005,1e-05,120,2000,1000.0,2.0,lstm,random,0.5613575982521896,0.9790118577075099,0.5982509903580238,0.4157491537502227,0.4218720626185634,0.4628538512179065,0.4904076738609113
gen_replay,64,0.0,0.001,0.0,120,10000,1000.0,2.0,lstm,random,0.9318980159203987,0.9893478260869565,0.9765490694371777,0.9154819169784429,0.9189239997949173,0.9004443712969059,0.8906409119279919
gen_replay,256,0.0,0.001,0.0001,60,10000,500.0,10.0,lstm,random,0.9328638515182363,0.9982213438735178,0.9698407952761791,0.920167468376982,0.9101396270914156,0.904805793285056,0.8940080812062678
gen_replay,128,0.3,0.0001,1e-05,60,5000,500.0,2.0,mean,random,0.46920374359701245,0.6262252964426878,0.5268144106435458,0.5246392303580972,0.4824227094833627,0.3529953917050691,0.3021254229493118
gen_replay,64,0.5,0.0001,1e-05,90,10000,1000.0,10.0,pool,random,0.4173337028931567,0.5582806324110672,0.5197884744749234,0.326741492962765,0.269273494778938,0.39405859117840686,0.4358595315528399
gen_replay,256,0.0,0.001,0.0,90,2000,1000.0,10.0,gcn,random,0.6908019434821803,0.9943675889328063,0.6369123252858958,0.5744343488330661,0.7132261206911285,0.6106155365371955,0.615255740612989
